longitude,latitude,depth,depthDeployed,northing,easting,siteName
-160.039618821312,53.6824659340185,5694.01626151817,5669.386411,5948695.56245848,431337.033568343,527
-160.055796345377,53.7176060093003,5530.62338223477,5543.310214,5952620.61331814,430326.667344242,528
-160.073650752976,53.7521221988225,4975.29964868141,4998.367755,5956478.17980804,429206.496773272,529
-160.091326589794,53.7864153878215,4596.64479720935,4601.509869,5960311.060502,428099.66778128,530
-160.208298218448,53.7666335645443,4176.70083619681,4286.644535,5958235.14449729,420356.058359152,530a
-160.14911913573,53.7772509393446,4266.34113789113,4324.882337,5959351.5868271,424275.747910674,530b
-160.03599135591,53.7961419314303,4477.39798452937,4440.336402,5961338.53954594,431761.008323865,530c
-159.979798372625,53.805720992752,4496.09816674092,4443.959021,5962351.68508883,435476.940496079,530d
-159.921654347434,53.8150966707584,4269.01115719672,4301.735739,5963343.47594597,439319.362451638,530e
-160.114812620435,53.8205678129228,4158.12759443089,4150.392538,5964134.57056545,426612.052167124,531
-160.230636676035,53.7994702595416,3979.39357549322,4053.362563,5961913.46526889,418947.01761088,531a
-160.172699012107,53.8101894527014,4201.72616032754,4226.23275,5963041.38479047,422782.480435912,531b
-160.055265843962,53.8311351358037,4313.51600840815,4300.340963,5965250.27650758,430549.35029261,531c
-159.996101893649,53.8379459532001,4334.55141620374,4351.613008,5965951.72003763,434453.645646168,531d
-159.939557404188,53.8500952929308,4134.03446110027,4177.782916,5967252.62484855,438192.22859027,531e
-160.133235051805,53.8550279609242,3964.37397791838,3952.177053,5967987.49744154,425460.579766951,532
-160.247730471524,53.8342325004861,3733.4494086187,3731.071627,5965800.38415601,417889.213994213,532a
-160.19070461574,53.8450884018181,3907.22066744802,3939.192322,5966943.62948084,421662.077036739,532b
-160.074985597303,53.8647832918067,3891.08561981479,3909.230491,5969013.16977744,429308.289138163,532c
-160.016762816928,53.8749865551521,3772.8786887324,3733.488854,5970091.86108473,433153.200869167,532d
-159.956298232256,53.8836995634573,3827.75466430229,3850.412081,5971005.92373067,437141.383252829,532e
-160.146199308208,53.8901746057084,3622.77083392922,3614.608661,5971911.30754371,424671.068665099,533
-160.262594975265,53.8694557547686,3532.22457030716,3560.413397,5969736.25645215,416980.796280012,533a
-160.204160048242,53.8797303819164,3606.91260374898,3630.193445,5970812.50510005,420842.289516722,533b
-160.088071342876,53.9001587459668,3698.30075958898,3700.905475,5972961.88608931,428508.175622015,533c
-160.030410904497,53.9100828423521,3666.41083271064,3657.299248,5974009.37712314,432312.678007697,533d
-159.970708806954,53.9196815021588,3533.18798377262,3516.390124,5975021.91886476,436248.99177885,533e
-160.162615008759,53.9248148844448,3558.53399717415,3540.245193,5975782.66235939,423655.462190141,534
-160.179759153145,53.9590466371785,3035.49985807524,3237.88965,5979609.6206632,422593.121916682,535
-160.197617609514,53.9931367549389,2772.84892551537,2672.951524,5983421.89208221,421485.561404423,536
-160.217216110927,54.0321528832831,2780.16551492585,2763.925285,5987784.45752789,420275.391769633,537
-160.233407124922,54.064187745928,2101.71298720075,2180.982114,5991366.80158537,419277.088152994,537a
-160.250169214978,54.0960886333915,1854.62022964331,1853.27149,5994935.14761598,418242.835362873,537b
-160.268775340749,54.1299843250167,1766.60285191108,1664.831047,5998727.8490147,417093.780638939,537c
-160.285579854698,54.1652164028896,1278.92103555679,1277.944327,6002667.41173029,416067.069513449,538
-160.302686153454,54.1998286974455,844.716730770092,860.967636,6006538.65005971,415021.300539513,538a
-160.318391607073,54.2346413962092,610.594173263277,607.935804,6010430.75354149,414069.147656943,538b
-160.334667734572,54.2692752813354,433.559581878644,432.364295,6014303.89927789,413081.213917976,538c
-160.351509078238,54.3041801258913,202.63887542948,210.216555,6018208.14482759,412058.893852224,539
